Time,Latitude,Longitude,Range_km,Direction,Name,Type
2025/08/16 21:13:33,54.10298,27.96955,35.020,49.8°,Minsk,City
2025/08/16 21:13:34,54.04242,27.94126,29.559,57.6°,Minsk,City
2025/08/16 21:13:35,53.98185,27.91304,24.871,68.6°,Minsk,City
2025/08/16 21:13:36,53.92127,27.88488,21.468,83.7°,Minsk,City
2025/08/16 21:13:37,53.86069,27.85680,20.018,102.7°,Minsk,City
2025/08/16 21:13:38,53.80011,27.82878,20.929,122.2°,Minsk,City
2025/08/16 21:13:39,53.73952,27.80084,23.934,138.4°,Minsk,City
2025/08/16 21:13:40,53.67892,27.77296,28.375,150.2°,Minsk,City
2025/08/16 21:16:42,42.57890,23.56495,23.869,123.5°,Sofia,City
2025/08/16 21:16:43,42.51760,23.54544,27.124,137.5°,Sofia,City
2025/08/16 23:01:16,12.67086,-7.95779,6.029,54.3°,Bamako,City
2025/08/16 23:01:17,12.60886,-7.97074,4.854,134.0°,Bamako,City
2025/08/17 07:54:44,-3.06323,37.35148,0.651,315.3°,Kilimanjaro,Mountain Peak
2025/08/17 08:07:30,44.24482,26.20472,21.808,158.1°,Bucharest,City
2025/08/17 08:07:31,44.30599,26.18433,14.925,154.1°,Bucharest,City
2025/08/17 08:07:32,44.36717,26.16391,8.233,143.6°,Bucharest,City
2025/08/17 08:07:33,44.42834,26.14346,3.257,87.0°,Bucharest,City
2025/08/17 08:07:34,44.48950,26.12297,7.159,13.1°,Bucharest,City
2025/08/17 08:07:35,44.55067,26.10244,13.774,360.0°,Bucharest,City
2025/08/17 08:07:36,44.61183,26.08188,20.639,355.5°,Bucharest,City
2025/08/17 09:45:56,51.28367,-0.53967,21.550,196.0°,Heathrow Airport,Airport
2025/08/17 09:45:57,51.34442,-0.56509,30.688,220.3°,Wembley Stadium (London),Stadium
2025/08/17 09:45:58,51.40517,-0.59058,27.255,232.3°,Wembley Stadium (London),Stadium
2025/08/17 09:45:59,51.46591,-0.61611,25.325,247.0°,Wembley Stadium (London),Stadium
2025/08/17 09:46:00,51.52665,-0.64171,25.246,262.9°,Wembley Stadium (London),Stadium
2025/08/17 09:46:01,51.58739,-0.66736,19.688,311.6°,Heathrow Airport,Airport
2025/08/17 09:46:02,51.64812,-0.69307,25.782,320.3°,Heathrow Airport,Airport
