Time;Latitude;Longitude;Range_km;Direction;Name;Type;;
17/08/2025 18:11:41;41.19432;69.47305;22.717;120.9°;Tashkent;City;;
17/08/2025 18:11:42;41.13295;69.45419;25.761;135.9°;Tashkent;City;;
17/08/2025 21:24:26;42.18430;21.52615;22.314;21.2°;Skopje;City;;
17/08/2025 21:24:27;42.12297;21.50683;15.415;24.9°;Skopje;City;;
17/08/2025 21:24:28;42.06165;21.48754;8.682;34.5°;Skopje;City;;
17/08/2025 21:24:29;42.00032;21.46828;3.346;84.2°;Skopje;City;;
17/08/2025 21:24:30;41.93899;21.44906;6.713;165.0°;Skopje;City;;
17/08/2025 21:24:31;41.87766;21.42986;13.304;179.3°;Skopje;City;;
17/08/2025 21:24:32;41.81632;21.41068;20.175;184.1°;Skopje;City;;
18/08/2025 08:17:16;52.01778;21.36286;33.592;134.4°;Warsaw;City;;
18/08/2025 08:17:17;52.07848;21.33674;27.802;127.1°;Warsaw;City;;
18/08/2025 08:17:18;52.13917;21.31055;22.695;116.2°;Warsaw;City;;
18/08/2025 08:17:19;52.19986;21.28431;18.833;100.0°;Warsaw;City;;
18/08/2025 08:17:20;52.26054;21.25801;17.083;78.3°;Warsaw;City;;
18/08/2025 08:17:21;52.32123;21.23164;18.069;55.6°;Warsaw;City;;
18/08/2025 08:17:22;52.38190;21.20522;21.416;37.7°;Warsaw;City;;
18/08/2025 08:17:23;52.44257;21.17873;26.235;25.5°;Warsaw;City;;
18/08/2025 08:19:13;59.08117;17.81122;31.240;208.1°;Stockholm;City;;
18/08/2025 08:19:14;59.14114;17.77558;26.749;218.7°;Stockholm;City;;
18/08/2025 08:19:15;59.20110;17.73983;23.500;232.8°;Stockholm;City;;
18/08/2025 08:19:16;59.26106;17.70397;22.050;250.0°;Stockholm;City;;
18/08/2025 08:19:17;59.32100;17.66800;22.744;267.8°;Stockholm;City;;
18/08/2025 08:19:18;59.38094;17.63191;25.408;283.2°;Stockholm;City;;
18/08/2025 08:19:19;59.44086;17.59571;29.512;295.1°;Stockholm;City;;
18/08/2025 08:19:20;59.50078;17.55940;34.548;303.7°;Stockholm;City;;
18/08/2025 21:31:19;44.96020;20.52145;20.132;16.5°;Belgrade;City;;
18/08/2025 21:31:20;44.89901;20.50068;13.149;18.1°;Belgrade;City;;
18/08/2025 21:31:21;44.83781;20.47995;6.199;23.3°;Belgrade;City;;
18/08/2025 21:31:22;44.77662;20.45925;1.378;143.6°;Belgrade;City;;
18/08/2025 21:31:23;44.71542;20.43858;7.957;185.9°;Belgrade;City;;
18/08/2025 21:31:24;44.65422;20.41795;14.922;189.4°;Belgrade;City;;
18/08/2025 21:31:25;44.59301;20.39736;21.908;190.7°;Belgrade;City;;
18/08/2025 23:10:46;34.12198;-6.83594;11.251;2.7°;Rabat;City;;
18/08/2025 23:10:47;34.06036;-6.85227;4.496;347.4°;Rabat;City;;
18/08/2025 23:10:48;33.99874;-6.86857;3.500;225.3°;Rabat;City;;
18/08/2025 23:10:49;33.93712;-6.88486;10.134;203.2°;Rabat;City;;
18/08/2025 23:10:50;33.87550;-6.90113;17.075;198.8°;Rabat;City;;
19/08/2025 01:02:36;-22.80906;-43.28264;12.655;334.9°;Maracana Stadium (Rio de Janeiro);Stadium;;
19/08/2025 01:02:37;-22.87080;-43.29662;8.208;304.0°;Maracana Stadium (Rio de Janeiro);Stadium;;
19/08/2025 01:02:38;-22.93254;-43.31060;8.543;254.6°;Maracana Stadium (Rio de Janeiro);Stadium;;
19/08/2025 01:02:39;-22.99428;-43.32460;13.302;226.6°;Maracana Stadium (Rio de Janeiro);Stadium;;
19/08/2025 03:57:11;45.58117;-75.77546;18.773;341.1°;Ottawa;City;;
19/08/2025 03:57:12;45.52001;-75.79660;13.419;324.8°;Ottawa;City;;
19/08/2025 03:57:13;45.45885;-75.81769;10.277;293.9°;Ottawa;City;;
19/08/2025 03:57:14;45.39769;-75.83875;11.363;256.6°;Ottawa;City;;
19/08/2025 03:57:15;45.33652;-75.85978;15.828;233.4°;Ottawa;City;;
19/08/2025 03:57:16;45.27535;-75.88077;21.677;221.5°;Ottawa;City;;
19/08/2025 04:01:46;28.66922;-80.60014;11.720;23.9°;Kennedy Space Center (USA);Spaceport;;
19/08/2025 04:01:47;28.60746;-80.61514;5.063;40.6°;Kennedy Space Center (USA);Spaceport;;
19/08/2025 04:01:48;28.54570;-80.63012;3.537;148.8°;Kennedy Space Center (USA);Spaceport;;
19/08/2025 04:01:49;28.48393;-80.64510;9.900;177.9°;Kennedy Space Center (USA);Spaceport;;
19/08/2025 20:11:50;10.11071;34.02834;57.002;77.5°;Piestewa Peak Fire Tower (AZ; USA);;
19/08/2025 20:11:51;10.04869;34.01555;54.531;84.3°;Piestewa Peak Fire Tower (AZ; USA);;
19/08/2025 20:11:52;9.98667;34.00277;52.888;91.6°;Piestewa Peak Fire Tower (AZ; USA);;
19/08/2025 20:11:53;9.92465;33.98998;52.149;99.2°;Piestewa Peak Fire Tower (AZ; USA);;
19/08/2025 20:11:54;9.86264;33.97720;52.354;106.9°;Piestewa Peak Fire Tower (AZ; USA);;
19/08/2025 21:34:46;60.11520;25.48001;30.593;101.2°;Helsinki;City;;
19/08/2025 21:34:47;60.05534;25.44248;30.697;114.3°;Helsinki;City;;
19/08/2025 21:34:48;59.99547;25.40507;32.342;126.6°;Helsinki;City;;
19/08/2025 21:34:49;59.93559;25.36778;35.311;137.4°;Helsinki;City;;
19/08/2025 21:34:53;59.69599;25.21981;38.973;42.2°;Tallinn;City;;
19/08/2025 21:34:54;59.63607;25.18310;32.806;47.4°;Tallinn;City;;
19/08/2025 21:34:55;59.57614;25.14652;27.035;54.9°;Tallinn;City;;
19/08/2025 21:34:56;59.51620;25.11005;21.972;66.2°;Tallinn;City;;
19/08/2025 21:34:57;59.45625;25.07369;18.219;83.1°;Tallinn;City;;
19/08/2025 21:34:58;59.39629;25.03745;16.685;105.6°;Tallinn;City;;
19/08/2025 21:34:59;59.33633;25.00132;17.946;128.5°;Tallinn;City;;
19/08/2025 21:35:00;59.27635;24.96530;21.519;146.0°;Tallinn;City;;
19/08/2025 21:35:01;59.21637;24.92940;26.482;157.8°;Tallinn;City;;
19/08/2025 21:35:35;57.17228;23.77074;31.970;320.9°;Riga;City;;
19/08/2025 21:35:36;57.11203;23.73837;28.617;309.3°;Riga;City;;
19/08/2025 21:35:37;57.05178;23.70609;26.707;295.3°;Riga;City;;
19/08/2025 21:35:38;56.99151;23.67390;26.553;280.3°;Riga;City;;
19/08/2025 21:35:39;56.93124;23.64181;28.182;266.0°;Riga;City;;
19/08/2025 21:36:57;52.21127;21.38102;25.207;94.5°;Warsaw;City;;
19/08/2025 21:36:58;52.15055;21.35475;24.954;110.5°;Warsaw;City;;
19/08/2025 21:36:59;52.08981;21.32854;26.600;125.7°;Warsaw;City;;
19/08/2025 21:37:00;52.02908;21.30239;29.833;138.3°;Warsaw;City;;
19/08/2025 21:39:11;44.03729;18.30097;22.037;336.0°;Sarajevo;City;;
19/08/2025 21:39:12;43.97606;18.28071;17.023;321.5°;Sarajevo;City;;
19/08/2025 21:39:13;43.91482;18.26049;13.853;298.1°;Sarajevo;City;;
19/08/2025 21:39:14;43.85358;18.24030;13.858;268.8°;Sarajevo;City;;
19/08/2025 21:39:15;43.79233;18.22015;17.035;245.4°;Sarajevo;City;;
