Time,Latitude,Longitude,Range_km,Direction,Name,Type
2025/08/08 21:50:17,48.33346,16.80318,30.514,312.5°,Bratislava,City
2025/08/08 21:50:22,48.02852,16.68883,30.758,130.4°,Vienna,City
2025/08/08 21:50:55,46.01360,15.96043,22.145,355.7°,Zagreb,City
2025/08/08 21:50:56,45.95248,15.93904,15.643,347.8°,Zagreb,City
2025/08/08 21:50:57,45.89136,15.91768,9.840,329.7°,Zagreb,City
2025/08/08 21:50:58,45.83023,15.89636,6.842,284.4°,Zagreb,City
2025/08/08 21:50:59,45.76911,15.87507,9.729,238.4°,Zagreb,City
2025/08/08 21:51:00,45.70797,15.85382,15.503,219.9°,Zagreb,City
2025/08/08 21:51:01,45.64684,15.83261,21.998,211.8°,Zagreb,City
2025/08/08 21:52:17,40.99181,14.31831,21.017,334.4°,Mount Vesuvius,Volcano
2025/08/08 21:52:18,40.93045,14.29954,16.155,318.7°,Mount Vesuvius,Volcano
2025/08/08 21:52:19,40.86909,14.28079,13.354,293.4°,Mount Vesuvius,Volcano
2025/08/08 21:52:20,40.80773,14.26208,13.920,263.8°,Mount Vesuvius,Volcano
2025/08/08 21:52:21,40.74636,14.24339,17.530,241.6°,Mount Vesuvius,Volcano
2025/08/08 21:52:22,40.68500,14.22472,22.780,228.3°,Mount Vesuvius,Volcano
2025/08/09 00:58:56,64.14777,-22.91983,40.507,322.5°,Grindavikur,Volcano
2025/08/09 00:58:57,64.08868,-22.96751,37.217,313.4°,Grindavikur,Volcano
2025/08/09 00:58:58,64.02958,-23.01501,35.022,302.9°,Grindavikur,Volcano
2025/08/09 06:56:52,9.81565,50.10724,40.081,120.7°,Okanagan Mountain Lookout (BC, CAN)
2025/08/09 06:56:53,9.87760,50.09447,35.734,112.4°,Okanagan Mountain Lookout (BC, CAN)
2025/08/09 06:56:54,9.93955,50.08170,32.345,102.0°,Okanagan Mountain Lookout (BC, CAN)
2025/08/09 06:56:55,10.00149,50.06892,30.237,89.7°,Okanagan Mountain Lookout (BC, CAN)
2025/08/09 06:56:56,10.06344,50.05614,29.685,76.2°,Okanagan Mountain Lookout (BC, CAN)
2025/08/09 06:56:57,10.12539,50.04335,30.772,63.0°,Okanagan Mountain Lookout (BC, CAN)
