territory_id_id,Nom du fichier/tuile,Nom simplifié,Longitude centre,Latitude centre,Largeur (°),Hauteur (°),country
1,ESA_WorldCover_10m_2021_v200_N00E006_Map_1.tif,N00E006_1,6.75,0.75,1.5,1.5,São Tomé and Principe
2,ESA_WorldCover_10m_2021_v200_N00E006_Map_2.tif,N00E006_2,8.25,0.75,1.5,1.5,Ocean
3,ESA_WorldCover_10m_2021_v200_N00E006_Map_3.tif,N00E006_3,6.75,2.25,1.5,1.5,São Tomé and Principe
4,ESA_WorldCover_10m_2021_v200_N00E006_Map_4.tif,N00E006_4,8.25,2.25,1.5,1.5,Ocean
5,ESA_WorldCover_10m_2021_v200_N00E009_Map_1.tif,N00E009_1,9.75,0.75,1.5,1.5,Gabon
6,ESA_WorldCover_10m_2021_v200_N00E009_Map_2.tif,N00E009_2,11.25,0.75,1.5,1.5,Gabon
7,ESA_WorldCover_10m_2021_v200_N00E009_Map_3.tif,N00E009_3,9.75,2.25,1.5,1.5,Cameroon
8,ESA_WorldCover_10m_2021_v200_N00E009_Map_4.tif,N00E009_4,11.25,2.25,1.5,1.5,Cameroon
9,ESA_WorldCover_10m_2021_v200_N00E012_Map_1.tif,N00E012_1,12.75,0.75,1.5,1.5,Gabon
10,ESA_WorldCover_10m_2021_v200_N00E012_Map_2.tif,N00E012_2,14.25,0.75,1.5,1.5,Republic of the Congo
11,ESA_WorldCover_10m_2021_v200_N00E012_Map_3.tif,N00E012_3,12.75,2.25,1.5,1.5,Cameroon
12,ESA_WorldCover_10m_2021_v200_N00E012_Map_4.tif,N00E012_4,14.25,2.25,1.5,1.5,Cameroon
13,ESA_WorldCover_10m_2021_v200_N00E015_Map_1.tif,N00E015_1,15.75,0.75,1.5,1.5,Republic of the Congo
14,ESA_WorldCover_10m_2021_v200_N00E015_Map_2.tif,N00E015_2,17.25,0.75,1.5,1.5,Republic of the Congo
15,ESA_WorldCover_10m_2021_v200_N00E015_Map_3.tif,N00E015_3,15.75,2.25,1.5,1.5,Cameroon
