Time,Latitude,Longitude,Range_km,Direction,Name,Type
2025/09/12 08:14:53,59.47283,18.57048,32.583,60.5°,Stockholm,City
2025/09/12 08:14:54,59.53279,18.53411,34.713,49.1°,Stockholm,City
2025/09/12 08:14:55,59.59275,18.49761,38.023,39.4°,Stockholm,City
2025/09/12 09:46:23,41.24331,2.11608,15.310,182.1°,Camp Nou (Barcelona),Stadium
2025/09/12 09:46:24,41.30468,2.09718,8.741,194.2°,Camp Nou (Barcelona),Stadium
2025/09/12 09:46:25,41.36605,2.07825,4.068,246.1°,Camp Nou (Barcelona),Stadium
2025/09/12 09:46:26,41.42741,2.05929,7.403,314.3°,Camp Nou (Barcelona),Stadium
2025/09/12 09:46:27,41.48878,2.04031,13.827,330.2°,Camp Nou (Barcelona),Stadium
2025/09/12 09:46:28,41.55014,2.02129,20.632,335.8°,Camp Nou (Barcelona),Stadium
2025/09/12 09:46:41,42.34760,1.77152,27.199,130.8°,Andorra la Vella,City
2025/09/12 09:46:42,42.40892,1.75210,21.909,120.0°,Andorra la Vella,City
2025/09/12 09:46:43,42.47024,1.73266,17.842,103.5°,Andorra la Vella,City
2025/09/12 09:46:44,42.53156,1.71318,15.962,80.4°,Andorra la Vella,City
2025/09/12 09:46:45,42.59288,1.69367,17.010,56.2°,Andorra la Vella,City
2025/09/12 09:46:46,42.65419,1.67414,20.542,37.5°,Andorra la Vella,City
2025/09/12 09:46:59,43.45101,1.41737,20.416,167.1°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 09:47:00,43.51229,1.39740,13.415,167.3°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 09:47:01,43.57356,1.37740,6.414,168.0°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 09:47:02,43.63483,1.35737,0.606,332.8°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 09:47:03,43.69609,1.33730,7.591,345.6°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 09:47:04,43.75735,1.31720,14.591,346.1°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 09:47:05,43.81861,1.29707,21.592,346.3°,Aeroport Toulouse-Blagnac,Airport
2025/09/12 15:02:04,40.22558,116.51670,17.175,340.4°,Beijing Capital Airport,Airport
2025/09/12 15:02:05,40.16418,116.49827,11.887,321.9°,Beijing Capital Airport,Airport
2025/09/12 15:02:06,40.10279,116.47986,9.260,285.8°,Beijing Capital Airport,Airport
2025/09/12 15:02:07,40.04139,116.46148,15.936,16.8°,Beijing,City
2025/09/12 15:02:08,39.97999,116.44313,8.961,19.9°,Beijing,City
2025/09/12 15:02:09,39.91859,116.42480,2.182,42.9°,Beijing,City
2025/09/12 15:02:10,39.85718,116.40650,5.229,180.8°,Beijing,City
2025/09/12 15:02:11,39.79577,116.38822,12.167,187.7°,Beijing,City
2025/09/12 15:02:12,39.73436,116.36997,19.154,189.6°,Beijing,City
2025/09/12 19:51:06,41.90091,44.65745,24.992,325.8°,Tbilisi,City
2025/09/12 19:51:07,41.83959,44.63828,20.899,311.5°,Tbilisi,City
2025/09/12 19:51:08,41.77826,44.61914,18.628,292.2°,Tbilisi,City
2025/09/12 19:51:09,41.71694,44.60003,18.849,270.7°,Tbilisi,City
2025/09/12 19:51:10,41.65560,44.58094,21.485,252.1°,Tbilisi,City
2025/09/12 21:24:02,54.93187,25.54407,32.049,31.8°,Vilnius,City
2025/09/12 21:24:03,54.87138,25.51479,25.431,36.3°,Vilnius,City
2025/09/12 21:24:04,54.81089,25.48560,19.073,43.8°,Vilnius,City
2025/09/12 21:24:05,54.75039,25.45647,13.351,58.2°,Vilnius,City
