Time,Latitude,Longitude,Range_km,Direction,Name,Type
2025/09/12 15:02:04,40.22309,116.51590,16.938,339.9°,Beijing Capital Airport,Airport
2025/09/12 15:02:05,40.16170,116.49747,11.713,320.8°,Beijing Capital Airport,Airport
2025/09/12 15:02:06,40.10030,116.47907,9.254,284.1°,Beijing Capital Airport,Airport
2025/09/12 15:02:07,40.03890,116.46069,15.651,16.9°,Beijing,City
2025/09/12 15:02:08,39.97750,116.44234,8.678,20.1°,Beijing,City
2025/09/12 15:02:09,39.91610,116.42402,1.939,47.0°,Beijing,City
2025/09/12 15:02:10,39.85469,116.40571,5.507,181.5°,Beijing,City
2025/09/12 15:02:11,39.79328,116.38744,12.451,187.9°,Beijing,City
2025/09/12 15:02:12,39.73187,116.36919,19.438,189.7°,Beijing,City
2025/09/12 19:51:06,41.89920,44.65680,24.866,325.5°,Tbilisi,City
2025/09/12 19:51:07,41.83788,44.63763,20.814,311.1°,Tbilisi,City
2025/09/12 19:51:08,41.77655,44.61849,18.607,291.6°,Tbilisi,City
2025/09/12 19:51:09,41.71522,44.59938,18.902,270.1°,Tbilisi,City
2025/09/12 19:51:10,41.65389,44.58029,21.596,251.7°,Tbilisi,City
2025/09/12 21:24:02,54.93059,25.54319,31.898,31.9°,Vilnius,City
2025/09/12 21:24:03,54.87010,25.51392,25.283,36.4°,Vilnius,City
2025/09/12 21:24:04,54.80960,25.48472,18.931,43.9°,Vilnius,City
2025/09/12 21:24:05,54.74910,25.45560,13.229,58.6°,Vilnius,City
2025/09/12 21:24:06,54.68859,25.42655,9.440,89.0°,Vilnius,City
2025/09/12 21:24:07,54.62808,25.39758,10.035,130.9°,Vilnius,City
2025/09/12 21:24:08,54.56756,25.36868,14.484,156.7°,Vilnius,City
2025/09/12 21:24:09,54.50704,25.33985,20.404,169.0°,Vilnius,City
2025/09/12 21:24:10,54.44651,25.31110,26.840,175.7°,Vilnius,City
2025/09/12 23:01:24,51.76382,-0.01764,29.387,37.8°,Wembley Stadium (London),Stadium
2025/09/12 23:01:25,51.70306,-0.04346,22.522,15.0°,London,City
2025/09/12 23:01:26,51.64229,-0.06922,15.536,15.1°,London,City
2025/09/12 23:01:27,51.58152,-0.09492,8.550,15.4°,London,City
2025/09/12 23:01:28,51.52075,-0.12057,1.566,18.6°,London,City
2025/09/12 23:01:29,51.45997,-0.14616,5.425,193.6°,London,City
2025/09/12 23:01:30,51.39919,-0.17169,12.411,194.2°,London,City
2025/09/12 23:01:31,51.33840,-0.19716,19.398,194.4°,London,City
