Name,Type,Tile_km,Center_Lat,Center_Lon,Lat_min,Lat_max,Lon_min,Lon_max
Tirana,City,5.0,41.3275,19.8187,41.30497747747748,41.35002252252252,19.788707850811104,19.848692149188896
Andorra la Vella,City,5.0,42.5078,1.5211,42.48527747747748,42.530322522522525,1.4905479518933322,1.5516520481066676
Vienna,City,5.0,48.2082,16.3738,48.185677477477476,48.23072252252252,16.340004004361152,16.407595995638847
Minsk,City,5.0,53.9006,27.559,53.878077477477476,53.92312252252252,27.52077361640875,27.597226383591252
Brussels,City,5.0,50.8503,4.3517,50.827777477477476,50.87282252252252,4.31602633618226,4.3873736638177405
Sarajevo,City,5.0,43.8563,18.4131,43.833777477477476,43.87882252252252,18.381865560217733,18.444334439782267
Sofia,City,5.0,42.6977,23.3219,42.675177477477476,42.72022252252252,23.29125468634089,23.35254531365911
Zagreb,City,5.0,45.815,15.9819,45.792477477477476,45.83752252252252,15.949585433165625,16.014214566834372
Nicosia,City,5.0,35.1856,33.3823,35.16307747747748,35.20812252252252,33.35474242615408,33.40985757384592
Prague,City,5.0,50.0755,14.4378,50.05297747747748,50.09802252252252,14.40270603298861,14.47289396701139
Copenhagen,City,5.0,55.6761,12.5683,55.65357747747748,55.69862252252252,12.528357284793927,12.608242715206075
Tallinn,City,5.0,59.437,24.7536,59.414477477477476,59.45952252252252,24.709306654373673,24.797893345626324
Helsinki,City,5.0,60.1699,24.9384,60.14737747747748,60.19242252252252,24.89312220607559,24.983677793924414
Paris,City,5.0,48.8566,2.3522,48.83407747747748,48.87912252252252,2.3179684258572957,2.386431574142704
Berlin,City,5.0,52.52,13.405,52.49747747747748,52.542522522522525,13.367985870590823,13.442014129409175
Athens,City,5.0,37.9838,23.7275,37.96127747747748,38.006322522522524,23.69892481987902,23.756075180120977
Budapest,City,5.0,47.4979,19.0402,47.47537747747748,47.52042252252252,19.00686378308676,19.073536216913237
Reykjavik,City,5.0,64.1466,-21.9426,64.12407747747748,64.16912252252253,-21.994248868011855,-21.890951131988142
Dublin,City,5.0,53.3498,-6.2603,53.32727747747748,53.37232252252252,-6.298030716365183,-6.222569283634817
Rome,City,5.0,41.9028,12.4964,41.88027747747748,41.92532252252252,12.466139136426417,12.526660863573582
Pristina,City,5.0,42.6629,21.1655,42.64037747747748,42.68542252252252,21.13487184544299,21.196128154557012
